rank,content_hash_id,priority_score,action,reason_code,days_since_last_update,impressions_30d,users_30d,ctr,avg_position
1,content_c7555ca1424964bc,0.9015411244022111,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,2525,28,0.001188118811881188,24.197070968297105
2,content_32cdd791ebbbd611,0.896425381134513,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,8,5853,76,0.0005125576627370579,10.840979970069348
3,content_6c3e8337a174b460,0.8936936576934693,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1525,31,0.0013114754098360656,33.536232640594434
4,content_017fce5a57cdf719,0.8929446387470106,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1870,17,0.0,24.209409444173954
5,content_f349960becc9015a,0.8878417970168501,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1404,15,0.0007122507122507123,21.018751888549644
6,content_802299f5c2eee3cb,0.8843137190711167,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1882,17,0.0005313496280552603,27.386922521528412
7,content_feaa97bcdab06a2e,0.8808190410539037,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,2049,20,0.0014641288433382138,30.20311070321809
8,content_84a6bf3578312e90,0.8783309566617419,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,13,39506,81,0.0009618792082215359,21.748138235719768
9,content_a2bb26f87a209478,0.8758666058859981,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,13,3865,32,0.0015523932729624838,42.31787819269526
10,content_8fdf07060434bd49,0.8752391748336652,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1479,27,0.002704530087897228,17.214408857423813
11,content_98227af672db1fad,0.8748650707854134,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1019,9,0.0009813542688910696,25.79787919251169
12,content_77b1b851653bd821,0.8723175852646716,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1762,22,0.0022701475595913734,18.309755020987744
13,content_1d0bcb4143973a2c,0.8710789545790254,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1785,14,0.0016806722689075631,21.124918757709803
14,content_0ebb71b6d2389de7,0.8691523472631235,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,855,9,0.0011695906432748538,23.62913849099147
