rank,content_hash_id,priority_score,action,reason_code,days_since_last_update,impressions_30d,users_30d,ctr,avg_position
1,content_c7555ca1424964bc,0.9029897529341171,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,2525,28,0.1188118811881188,24.197070968297105
2,content_32cdd791ebbbd611,0.8945821211854382,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,8,5853,76,0.05125576627370579,10.840979970069348
3,content_6c3e8337a174b460,0.8924019839417728,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1525,31,0.13114754098360656,33.536232640594434
4,content_feaa97bcdab06a2e,0.8872780367351415,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,2049,20,0.14641288433382138,30.20311070321809
5,content_017fce5a57cdf719,0.8842022297647198,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1870,17,0.0,24.209409444173954
6,content_f349960becc9015a,0.8806268198014102,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1404,15,0.07122507122507123,21.018751888549644
7,content_c49e43d3d29f7569,0.8766806538950175,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1884,14,0.15923566878980894,14.596378275312757
8,content_8fdf07060434bd49,0.8765208119848215,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_POSITION,46,1479,27,0.2704530087897228,17.214408857423813
9,content_1d0bcb4143973a2c,0.8743287873254627,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1785,14,0.16806722689075632,21.124918757709803
10,content_62460a440bdf0f11,0.8735718771045081,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_POSITION,18,11791,59,0.39012806377745735,32.948009594627905
11,content_a2bb26f87a209478,0.8733925861905111,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,13,3865,32,0.15523932729624837,42.31787819269526
12,content_98227af672db1fad,0.873289436097989,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1019,9,0.09813542688910697,25.79787919251169
13,content_802299f5c2eee3cb,0.8727899093215045,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1882,17,0.053134962805526036,27.386922521528412
14,content_84a6bf3578312e90,0.8726404774876709,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,13,39506,81,0.09618792082215359,21.748138235719768
15,content_5d6a6651c0757f62,0.8701031367656024,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1151,15,0.0,26.05039655813784
16,content_0aaa197051f58d6f,0.8691644556800597,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,4,38220,26,0.04186289900575615,45.36251799197616
17,content_cf964ee64d51f4a1,0.8683903764803519,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,1371,12,0.07293946024799416,18.401218112999505
18,content_339ff99e5a4ecf13,0.8683402756651403,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,13,2429,30,0.04116920543433512,44.49088328553706
19,content_0ebb71b6d2389de7,0.8669180183848975,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,46,855,9,0.11695906432748539,23.62913849099147
20,content_81707f944166e061,0.8665184564018137,HIGH_PRIORITY_REFRESH,VISIBLE_LOW_CTR_LOW_POSITION,8,28677,34,0.052306726645046556,44.881298214377104
